name,lat,lng,category,city,country,googleMapsLink,note
Mae Varee,13.7240179,100.5793321,泰式料理,曼谷,TH,http://maps.google.com/?cid=3315406754575391777,
The Local,13.7406407,100.5636026,泰式料理,曼谷,TH,http://maps.google.com/?cid=10465357104461416368,
郭炎松 （牛肉湯）,13.7341825,100.5876467,泰式料理,曼谷,TH,http://maps.google.com/?cid=15909431373479206,
Here Hai (Original shop),13.7302655,100.586342,泰式料理,曼谷,TH,http://maps.google.com/?cid=2748471789301096848,
Jeh O Chula,13.7424996,100.5225179,泰式料理,曼谷,TH,http://maps.google.com/?cid=15238757142073429372,
Rung Rueang Pork Noodles,13.7284371,100.5706724,泰式料理,曼谷,TH,http://maps.google.com/?cid=14961108428832115858,
紅大哥水門雞飯(總店),13.7495863,100.5420894,泰式料理,曼谷,TH,http://maps.google.com/?cid=11429574275127970787,
Thipsamai Pad Thai鬼門炒河粉,13.7527976,100.504823,泰式料理,曼谷,TH,http://maps.google.com/?cid=7605461113463140286,
巴塞隆那高迪,13.7374948,100.5627674,泰式料理,曼谷,TH,http://maps.google.com/?cid=4165439198190895003,
頌通酒家,13.7194416,100.5666288,泰式料理,曼谷,TH,http://maps.google.com/?cid=9603100678306369416,
"Jim Thompson, A Thai Restaurant",13.7491036,100.5285763,泰式料理,曼谷,TH,http://maps.google.com/?cid=5778099887911284286,
MTR 1924 Bangkok,13.7234209,100.5211382,泰式料理,曼谷,TH,http://maps.google.com/?cid=17798245747431867773,
Jay Piek,13.7256982,100.4961914,泰式料理,曼谷,TH,http://maps.google.com/?cid=10103353136849799657,
Savoey @Terminal 21 Asok,13.7373997,100.5606394,交通節點,曼谷,TH,http://maps.google.com/?cid=15332943008039788478,
월정리 이런날엔,33.5426376,126.8307504,韓式料理,濟州,KR,http://maps.google.com/?cid=286625886916819857,
十大碗粥麵專家,22.3259729,114.1664154,台式小吃,香港,HK,http://maps.google.com/?cid=7670050077698752545,
Bakers Rorian,36.398871,136.441725,麵包坊,,JP,http://maps.google.com/?cid=14259032248634692596,
錫記招牌雲吞,22.2969461,114.1707205,港式料理,香港,HK,http://maps.google.com/?cid=12113879434291927621,
澳洲牛奶公司,22.304628,114.1705439,港式料理,香港,HK,http://maps.google.com/?cid=18038164721409490895,
燊咖啡,25.0164747,121.3016895,咖啡廳,桃園,TW,http://maps.google.com/?cid=17935421275992913993,
Ariel lee 章邖．Cafe（不定期公休請參閱官方IG）,25.0427796,121.5522264,咖啡廳,台北,TW,http://maps.google.com/?cid=1923142114280754284,
PIZZAROUND 比薩斜躺🍕🍕( 不提供訂位 人到齊後入坐 WALK-IN ONLY ),25.0362998,121.5557133,台式料理,台北,TW,http://maps.google.com/?cid=9885624276591275097,
金書西餐飲 韓國豬肉湯飯 돼지국밥,25.092148,121.5262299,韓式料理,台北,TW,http://maps.google.com/?cid=13995959515680612107,
忻鮨壽司,25.0385451,121.5008426,壽司,台北,TW,http://maps.google.com/?cid=14042727324077720740,
Yakiniku Wakaba,39.7159517,140.1381795,燒肉/燒烤,,JP,http://maps.google.com/?cid=2963782819400591596,
無限堂,39.7195107,140.115966,日式料理,,JP,http://maps.google.com/?cid=11217977042532688076,
點點心,22.3200607,114.1705378,港式/粵菜,香港,HK,http://maps.google.com/?cid=11339287955734934584,
媽咪雞蛋仔,22.3057768,114.1697375,港式料理,香港,HK,http://maps.google.com/?cid=9678965755878778437,
麻辣王 Chili King,22.3060762,114.1708746,港式料理,香港,HK,http://maps.google.com/?cid=1423757567261124480,
興記菜館,22.31136,114.170107,港式料理,香港,HK,http://maps.google.com/?cid=7770825836947612734,
魚心日本料理,25.0526437,121.5303249,台式料理,台北,TW,http://maps.google.com/?cid=7960614031078410742,
Sushi Sakaba Sashisu,34.6670162,135.5051444,壽司,大阪,JP,http://maps.google.com/?cid=17374332037517770750,
Matsu麵包,33.574168,130.3781338,麵包坊,福岡,JP,http://maps.google.com/?cid=17565391138077342942,
博多水炊鍋専門 橙,33.5896279,130.3814835,雞湯火鍋,福岡,JP,http://maps.google.com/?cid=15471653356998103554,
烏龍平,33.5831793,130.4160407,烏龍麵,福岡,JP,http://maps.google.com/?cid=14632460878750667045,
Tsim Chai Kee Noodle,22.2829758,114.1544256,港式料理,香港,HK,http://maps.google.com/?cid=8380974872586493257,
大池小館,22.326988,114.1954837,港式料理,香港,HK,http://maps.google.com/?cid=7336018105099031537,
毓鮨割烹－貴陽店,25.0397323,121.5049205,壽司,台北,TW,http://maps.google.com/?cid=5601957101966289918,
一吃上癮甕缸雞,25.044723,121.5529309,台式料理,台北,TW,http://maps.google.com/?cid=5766761743641684016,
阿男麻油雞,25.028881,121.5066339,台式料理,台北,TW,http://maps.google.com/?cid=15255861868189073989,
有味小吃店,25.0894368,121.4722795,台式料理,台北,TW,http://maps.google.com/?cid=4511251776564599167,
竺扶大班燒味,22.2762154,114.1743343,港式/粵菜,香港,HK,http://maps.google.com/?cid=8517563967692760053,
旺記冰室 (旺角),22.3159836,114.171385,港式冰室,香港,HK,http://maps.google.com/?cid=7471236170163885878,
祥興記上海生煎包(尖沙咀),22.2976589,114.1716428,上海料理,香港,HK,http://maps.google.com/?cid=8159380231779556721,
祥興記上海生煎包(中環),22.2824365,114.1534651,上海料理,香港,HK,http://maps.google.com/?cid=17984392650014859752,
金祥排骨麵,22.2871675,114.1387987,港式料理,香港,HK,http://maps.google.com/?cid=13123023684592587279,
新興食家,22.2829656,114.1282358,港式料理,香港,HK,http://maps.google.com/?cid=6559236013758686132,
腸粉皇,22.2771262,114.1774072,港式/粵菜,香港,HK,http://maps.google.com/?cid=2627859269638516620,
大壹燒鵝 (銅鑼灣),22.279376,114.1823157,港式/粵菜,香港,HK,http://maps.google.com/?cid=14018823565700873511,
榮記粉麵,22.2800381,114.1867358,港式料理,香港,HK,http://maps.google.com/?cid=4894582964588251834,
強記美食,22.2795865,114.1804137,港式料理,香港,HK,http://maps.google.com/?cid=10362341675027370671,
丹麥餅店,22.2777971,114.1862033,港式料理,香港,HK,http://maps.google.com/?cid=2893409818099317795,
麥記美食,22.2897932,114.1965938,港式料理,香港,HK,http://maps.google.com/?cid=10679846653118830003,
半島冰室,22.2882304,114.1918253,港式冰室,香港,HK,http://maps.google.com/?cid=9374674918878824540,
妹記生滾粥品,22.3208729,114.1706581,台式小吃,香港,HK,http://maps.google.com/?cid=13346780687923160855,
得閒飲茶,22.3324753,114.1622313,港式/粵菜,香港,HK,http://maps.google.com/?cid=5606834648968869991,
Old Fung Tea House,22.3189099,114.1714021,港式料理,香港,HK,http://maps.google.com/?cid=6839358266020751807,
屏山老地方茶餐廳 (肉餅專門店) - 土瓜灣,22.3175902,114.1917621,港式冰室,香港,HK,http://maps.google.com/?cid=1909030562271080358,
629 雞蛋仔,22.3348307,114.1970543,港式料理,香港,HK,http://maps.google.com/?cid=14997017446861232453,
民聲冰室,22.2786774,114.1926187,港式冰室,香港,HK,http://maps.google.com/?cid=16440056227499636212,
牛奶冰室 (尖沙咀),22.3031133,114.1724837,港式冰室,香港,HK,http://maps.google.com/?cid=3247186028887212421,
